city,year,field,Period,block,plot,covercrop,seq2,depth,pH,P,SOM,DB,WAS,TN,NO3,RP
Brownstown,2002,1,soybean,2,8,vetch,1,0-5cm,5.55,50,41.1,1.31,41.4,0.13,0.4,663
Brownstown,2002,1,soybean,3,9,rye,1,0-5cm,6.27,49,40.9,1.06,33.8,0.14,0.7,631
Brownstown,2002,1,soybean,3,10,vetch,1,0-5cm,5.84,53,35.2,1.35,35.4,0.13,1,655
Brownstown,2002,1,soybean,3,11,fallow,0,0-5cm,4.94,84,34.6,1.35,40.2,0.21,6.5,530
Brownstown,2002,1,soybean,3,12,mix,1,0-5cm,4.89,59,36.9,1.24,37.1,0.16,0.3,768
Brownstown,2002,1,soybean,4,13,fallow,0,0-5cm,5.11,58,45.4,1.43,39.9,0.16,3.9,658
Brownstown,2002,1,soybean,4,14,rye,1,0-5cm,4.98,79,32.2,1.24,42,0.15,16.4,702
Brownstown,2002,1,soybean,4,15,vetch,1,0-5cm,5.3,55,31.1,1.4,44.8,0.16,0.6,724
Brownstown,2002,1,soybean,4,16,mix,1,0-5cm,6,54,33.4,1.35,42.8,0.15,0.3,741
Brownstown,2002,2,corn,1,17,vetch,1,0-5cm,4.68,41,45,1.13,41,0.17,44.1,700
Brownstown,2002,2,corn,1,18,fallow,0,0-5cm,4.47,38,30.1,1.47,38.6,0.15,37,643
Brownstown,2002,2,corn,1,19,rye,1,0-5cm,4.32,42,36.4,1.38,63,0.13,26.1,666
Brownstown,2002,2,corn,1,20,mix,1,0-5cm,5.44,33,40.9,1.27,71,0.14,0.5,753
Brownstown,2002,2,corn,2,21,vetch,1,0-5cm,6.27,30,36.8,1.5,62.8,0.14,0.9,757
Brownstown,2002,2,corn,2,22,mix,1,0-5cm,4.98,35,35.5,1.38,58.1,0.15,10.3,695
Brownstown,2002,2,corn,2,23,rye,1,0-5cm,5.58,37,36.9,1.17,54,0.15,1.1,775
Brownstown,2002,2,corn,2,24,fallow,0,0-5cm,4.92,44,29.2,1.33,46.8,0.17,6.8,687
Brownstown,2002,2,corn,3,25,vetch,1,0-5cm,4.9,43,37,1.22,39.3,0.16,20.6,717
Brownstown,2002,2,corn,3,26,mix,1,0-5cm,5.1,39,28.8,1.32,40.7,0.14,0.9,693
